ges;S6;S4;S17;IFOMK;TR;Dichte;Pene;R+K
61.5049;1;0;0;0;0;1027.68396;350;34
61.21875;1;0;0;0;0;1036.36218;117;44.2
81.19886;1;0;0;0;0;1033.06616;153;40.6
84.95245;1;0;0;0;0;1030.92505;180;39.4
85.99335;1;0;0;0;0;1030.47852;188;40.2
98.07582;1;0;0;0;0;1031.26733;172;39.8
100.15427;1;0;0;0;0;1031.42615;170;40
99.17258;1;0;0;0;0;1031.30725;179;40.2
99.26169;1;0;0;0;0;1031.14392;176;39.4
102.93848;1;0;0;0;0;1030.61707;156;40.6
101.74948;1;0;0;0;0;1029.41626;178;39.6
102.27066;1;0;0;0;0;1029.88379;179;39.8
101.11585;1;0;0;0;0;1029.88379;175;39.2
83.92184;1;0;0;0;0;1028.86731;185;39
83.22324;1;0;0;0;0;1028.82202;199;38.8
103.49044;1;0;0;0;0;1031.00146;170;39.8
102.77638;1;0;0;0;0;1030.05225;170;40
103.76101;1;0;0;0;0;1030.41833;185;38
102.93539;1;0;0;0;0;1030.39905;176;39.8
102.54453;1;0;0;0;0;1030.74939;180;39.2
101.11587;1;0;0;0;0;1029.87744;171;39.2
102.48359;1;0;0;0;0;1032.54968;144;41.4
101.9784;1;0;0;0;0;1030.36267;148;41
103.78131;1;0;0;0;0;1030.60889;176;39.8
102.08107;1;0;0;0;0;1028.50684;185;37.8
102.62359;1;0;0;0;0;1029.58887;178;40
104.48837;1;0;0;0;0;1028.49304;190;39
102.93756;1;0;0;0;0;1028.49304;186;39
102.82082;1;0;0;0;0;1028.49304;180;40
102.30116;1;0;0;0;0;1028.49304;183;39.4
101.38447;1;0;0;0;0;1027.37756;211;38.6
102.01186;1;0;0;0;0;1028.47937;194;38.6
102.56132;1;0;0;0;0;1028.47937;189;39
104.25972;1;0;0;0;0;1028.47937;195;38.4
101.21285;1;0;0;0;0;1028.47937;175;39.8
103.23966;1;0;0;0;0;1029.49402;189;39
101.15956;1;0;0;0;0;1028.43787;196;38.4
104.04255;1;0;0;0;0;1028.43787;194;38.2
101.05674;1;0;0;0;0;1028.43787;177;39.6
103.67426;1;0;0;0;0;1028.43787;190;39.2
104.13823;0.945983814;0;0;0.054016186;0;1026.23486;229;38
101.62286;0.954594271;0;0;0.045405729;0;1027.47253;212;38.4
101.99095;0.964424098;0;0;0.035575902;0;1029.24927;171;40
102.90167;0.950062326;0;0;0.049937674;0;1029.26245;189;39.6
103.84136;1;0;0;0;0;1029.25574;194;38.8
104.90073;1;0;0;0;0;1030.32166;170;40.4
103.30958;0.941170606;0;0;0.058829394;0;1029.83752;176;40.4
102.90017;0.944972588;0;0;0.055027412;0;1028.18494;199;39
101.49072;0.95297639;0;0;0.04702361;0;1028.18494;195;38.8
102.80748;1;0;0;0;0;1028.18494;180;40
102.71777;1;0;0;0;0;1031.37109;178;40.2
102.71777;1;0;0;0;0;1030.35779;180;40
102.71777;1;0;0;0;0;1029.69641;170;40.6
105.85511;1;0;0;0;0;1030.21021;204;38.4
105.79475;1;0;0;0;0;1030.21021;197;39.6
105.76254;1;0;0;0;0;1030.21021;170;40
105.76172;1;0;0;0;0;1030.21021;175;39.8
99.36249;0.895492756;0;0.104507244;0;0;1030.21021;181;39.4
103.99854;0.857048955;0;0.142951045;0;0;1029.81372;223;38
104.90581;0.858285256;0;0.141714744;0;0;1029.13574;215;39.6
102.95557;0.840917592;0;0.159082408;0;0;1030.14905;196;40
102.50928;0.840225002;0;0.159774998;0;0;1030.14905;193;39.6
102.34914;0.839975011;0;0.160024989;0;0;1030.14905;205;40.2
102.95255;0.840912925;0;0.159087075;0;0;1031.22766;194;39
103.15722;0.840575386;0;0.159424614;0;0;1030.1947;183;39.8
102.41651;0.75560786;0;0.24439214;0;0;1030.1947;183;39.8
102.50147;0.755810429;0;0.244189571;0;0;1031.40845;200;39.4
102.43116;0.755642814;0;0.244357186;0;0;1031.40845;199;39.4
102.70363;0.701250871;0;0.298749129;0;0;1032.55896;190;39.8
103.12989;0.702485671;0;0.297514329;0;0;1032.93018;189;39.4
101.88458;0.761750699;0;0.238249301;0;0;1033.59741;170;40.2
103.3749;0.750802758;0;0.249197242;0;0;1033.8894;170;40.4
103.42969;0.750934765;0;0.249065235;0;0;1033.59778;173;40.2
103.42969;0.750934765;0;0.249065235;0;0;1033.59778;184;37.2
