S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
1;0;0;210;38.4;64.512;45.66087107
1;0;0;180;39.6;57.024;44.26426414
1;0;0;173;40;55.36;44.288
1;0;0;80;47.4;30.336;40.38344398
1;0;0;83;46.4;30.8096;38.47246512
1;0;0;87;46.4;32.2944;40.32655983
1;0;0;88;46.4;32.6656;40.7900835
1;0;0;90;46.2;33.264;41.00250702
1;0;0;86;45.8;31.5104;37.8408047
1;0;0;86;46.2;31.7856;39.18017338
1;0;0;84;46.6;31.3152;39.6116518
1;0;0;86;45.6;31.3728;37.18414688
1;0;0;85;46.6;31.688;40.08321909
1;0;0;78;47.2;29.4528;38.71351431
1;0;0;87;45.4;31.5984;36.96091075
1;0;0;85;45.8;31.144;37.40079534
1;0;0;92;45.6;33.5616;39.77838969
1;0;0;86;46.2;31.7856;39.18017338
1;0;0;86;45.8;31.5104;37.8408047
1;0;0;84;46.4;31.1808;38.9359888
1;0;0;85;46.4;31.552;39.39951247
1;0;0;84;46.4;31.1808;38.9359888
1;0;0;105;44.6;37.464;41.54595381
1;0;0;193;39.2;60.5248;45.57236605
1;0;0;184;39.2;57.7024;43.44722981
1;0;0;193;39.2;60.5248;45.57236605
1;0;0;185;39.4;58.312;44.58169904
1;0;0;186;39.2;58.3296;43.91948231
1;0;0;195;38.8;60.528;44.19381708
1;0;0;191;39.8;60.8144;47.92538998
1;0;0;194;39.4;61.1488;46.75053845
1;0;0;183;39.2;57.3888;43.21110356
1;0;0;171;40;54.72;43.776
1;0;0;184;39.4;57.9968;44.34071688
1;0;0;193;40.2;62.0688;50.40359593
1;0;0;203;39.2;63.6608;47.93362854
1;0;0;199;38.6;61.4512;44.17761795
1;0;0;210;38.8;65.184;47.59334147
0.900013981;0;0.099986019;194;39;60.528;44.8807554
0.900279102;0;0.099720898;180;40;57.6;46.08
0.898175465;0;0.101824535;174;40.4;56.2368;46.35266502
0.923363893;0;0.076636107;14;69.2;7.7504;32.10350227
0.274623913;0.725376087;0;13;71.2;7.4048;33.40898849
0.279560089;0.720439911;0;13;71.2;7.4048;33.40898849
0.277412745;0.722587255;0;14;71;7.952;35.5763534
0.276529411;0.723470589;0;14;71;7.952;35.5763534
0.270901318;0.729098682;0;16;70;8.96;38.416
0.298019002;0.701980998;0;15;69.2;8.304;34.39660957
0.294209901;0.705790099;0;15;69.8;8.376;35.60516064
0.255522731;0.744477269;0;15;69.6;8.352;35.19882916
0.29026964;0.70973036;0;17;68.8;9.3568;38.0892722
0.289316219;0.710683781;0;15;69.6;8.352;35.19882916
0.286181911;0.713818089;0;15;69;8.28;34.0006815
0.286668619;0.713331381;0;14;70;7.84;33.614
0.285880594;0.714119406;0;15;69.8;8.376;35.60516064
0.186429281;0.813570719;0;15;70.4;8.448;36.84528292
0.188216211;0.811783789;0;13;71.4;7.4256;33.78595501
0.188803377;0.811196623;0;12;72.2;6.9312;32.60844104
0.186668937;0.813331063;0;11;75.6;6.6528;35.93187392
0.186270165;0.813729835;0;18;67.8;9.7632;38.03568837
0.238434573;0.761565427;0;25;62.8;12.56;38.88468486
0.434196178;0.565803822;0;45;53.6;19.296;37.14254623
1;0;0;187;39.6;59.2416;45.98565219
1;0;0;211;37.6;63.4688;42.17293582
1;0;0;202;38.6;62.3776;44.84361219
1;0;0;198;39;61.776;45.8061318
1;0;0;194;39.2;60.8384;45.8084923
1;0;0;190;39.2;59.584;44.8639873
1;0;0;187;39;58.344;43.2613467
1;0;0;183;39.2;57.3888;43.21110356
1;0;0;195;38.2;59.592;41.52293686
1;0;0;183;38.4;56.2176;39.79018764
1;0;0;167;40;53.44;42.752
1;0;0;180;39.6;57.024;44.26426414
1;0;0;185;39.2;58.016;43.68335606
1;0;0;183;39.4;57.6816;44.09973472
1;0;0;188;39;58.656;43.4926908
1;0;0;180;39.6;57.024;44.26426414
1;0;0;189;38.8;58.6656;42.83400732
1;0;0;181;39.4;57.0512;43.61777041
1;0;0;190;39.4;59.888;45.78660982
1;0;0;188;39.2;58.9568;44.3917348
1;0;0;184;39.6;58.2912;45.24791446
1;0;0;179;40.2;57.5664;46.74737654
0.553833114;0.446166886;0;13;69;7.176;29.4672573
0.551392519;0.448607481;0;13;69.4;7.2176;30.15652074
0.54645887;0.45354113;0;13;69.4;7.2176;30.15652074
0.542792973;0.457207027;0;14;69.6;7.7952;32.85224055
0.541475061;0.458524939;0;17;67.4;9.1664;35.08233631
0.544691803;0.455308197;0;13;70.8;7.3632;32.6645277
0.530152812;0.469847188;0;14;70.2;7.8624;33.99980954
0.527516555;0.472483445;0;14;69;7.728;31.7339694
0.542983401;0.457016599;0;16;68.2;8.7296;34.61445366
0.543743971;0.456256029;0;14;70.2;7.8624;33.99980954
0.533219696;0.466780304;0;13;70.6;7.3424;32.29699799
0.518515788;0.481484212;0;17;68.8;9.3568;38.0892722
0.535756688;0.464243312;0;24;63.2;12.1344;38.28948763
0.693103015;0.306896985;0;178;39.2;55.8208;42.03047231
1;0;0;176;39;54.912;40.7165616
1;0;0;181;39.4;57.0512;43.61777041
1;0;0;188;39;58.656;43.4926908
1;0;0;187;39.6;59.2416;45.98565219
1;0;0;174;39.6;55.1232;42.78878867
1;0;0;176;39;54.912;40.7165616
1;0;0;186;38;56.544;38.7835296
1;0;0;190;38.6;58.672;42.17963523
1;0;0;193;39.2;60.5248;45.57236605
1;0;0;179;40.4;57.8528;47.68463815
1;0;0;232;37.6;69.7856;46.37024223
1;0;0;272;35.6;77.4656;43.68867725
1;0;0;288;35.6;82.0224;46.25859944
1;0;0;270;36;77.76;45.349632
0.896446779;0.103553221;0;188;39.2;58.9568;44.3917348
0.896569102;0.103430898;0;170;40.2;54.672;44.39694979
0.896625082;0.103374918;0;170;40.2;54.672;44.39694979
0.896559236;0.103440764;0;206;40;65.92;52.736
0.93366198;0.06633802;0;208;40;66.56;53.248
0.936113833;0.063886167;0;218;38.8;67.6672;49.40642114
0.911625307;0.088374693;0;116;42.8;39.7184;38.92539831
0.943265296;0.056734704;0;210;38.4;64.512;45.66087107
0.943309638;0.056690362;0;193;39.2;60.5248;45.57236605
0.943190153;0.056809847;0;180;39.4;56.736;43.37678825
0.944320122;0.055679878;0;184;39.4;57.9968;44.34071688
0.944697169;0.055302831;0;183;39.6;57.9744;45.00200188
0.943415115;0.056584885;0;180;40;57.6;46.08
0.94320916;0.05679084;0;182;39.8;57.9488;45.66712553
0.943202039;0.056797961;0;196;38.6;60.5248;43.51162371
0.943196247;0.056803753;0;202;38;61.408;42.1197472
0.943878303;0.056121697;0;224;38.2;68.4544;47.69814286
0.943379709;0.056620291;0;204;38.8;63.3216;46.23353171
0.943374985;0.056625015;0;180;40.2;57.888;47.00853507
0.503886328;0.496113672;0;14;69.2;7.7504;32.10350227
0.503400298;0.496599702;0;14;69.8;7.8176;33.23148327
0.50232374;0.49767626;0;14;70.6;7.9072;34.78138245
0.495508554;0.504491446;0;13;71.8;7.4672;34.54944929
0.498228987;0.501771013;0;12;71.4;6.8544;31.18703539
0.497597802;0.502402198;0;13;72;7.488;34.9360128
0.496665992;0.503334008;0;13;72;7.488;34.9360128
0.497644808;0.502355192;0;13;71.8;7.4672;34.54944929
0.494822762;0.505177238;0;16;68;8.704;34.2102016
0.919575786;0.080424214;0;190;38.8;58.976;43.06064228
0.919575786;0.080424214;0;199;38;60.496;41.4942064
0.919575786;0.080424214;0;193;39.6;61.1424;47.46112766
0.919575786;0.080424214;0;196;39.4;61.7792;47.23250276
0.894988157;0.105011843;0;190;39.4;59.888;45.78660982
0.894988157;0.105011843;0;194;39;60.528;44.8807554
0.894988157;0.105011843;0;194;38.8;60.2176;43.96718212
0.894988157;0.105011843;0;177;39.8;56.3568;44.41253417
1;0;0;189;39.4;59.5728;45.54562767
