ges;S6;S4;S17;IFOMK;TR;Pene;R+K
101.63823;1;0;0;0;0;93;45.4
103.83538;1;0;0;0;0;79;46.4
102.65582;1;0;0;0;0;81;46.6
103.13055;1;0;0;0;0;81;47
102.8698;1;0;0;0;0;82;46.8
103.12578;1;0;0;0;0;92;45.36
101.34923;1;0;0;0;0;87;45.6
101.04946;1;0;0;0;0;84;45.8
101.32113;1;0;0;0;0;85;46.6
101.76811;1;0;0;0;0;86;46.4
102.02608;1;0;0;0;0;85;46.8
101.42103;1;0;0;0;0;81;46.4
101.79481;1;0;0;0;0;82;46.4
101.9053;1;0;0;0;0;83;46.8
102.40274;1;0;0;0;0;86;47.8
103.50312;1;0;0;0;0;81;46
102.3088;1;0;0;0;0;86;46.5
96.67129;1;0;0;0;0;88;45.8
103.73877;0.933252341;0;0;0.066747659;0;86;46.2
104.11279;0.933492129;0;0;0.066507871;0;83;47
103.9656;0.947924506;0;0;0.052075494;0;78;47.4
100.36881;0.92826387;0;0;0.07173613;0;80;47
102.2378;1;0;0;0;0;65;47.4
104.2081;1;0;0;0;0;90;45.8
104.07227;1;0;0;0;0;86;46.2
104.06641;1;0;0;0;0;88;46.8
104.09204;1;0;0;0;0;87;45
104.16309;1;0;0;0;0;89;46.6
103.60307;1;0;0;0;0;82;46.6
99.9668;1;0;0;0;0;83;46.2
100.0569;1;0;0;0;0;85;46.4
103.69747;0.941828571;0;0;0.058171429;0;94;45
96.62198;0.795681066;0;0.204318934;0;0;91;45.8
97.74441;0.7867875;0;0.2132125;0;0;89;45.8
100.24072;0.891876475;0;0;0.108123525;0;93;45.6
99.22119;0.890765471;0;0;0.109234529;0;74;48.2
101.67979;0.893406743;0;0;0.106593257;0;87;46.8
102.75089;0.894517897;0;0;0.105482103;0;85;46
102.00442;0.799497414;0;0.200502586;0;0;84;46.6
104.22012;0.803760061;0;0.196239939;0;0;82;46.6
101.83125;1;0;0;0;0;75;47.2
102.89297;1;0;0;0;0;75;47.8
102.8836;1;0;0;0;0;80;47.6
99.80157;1;0;0;0;0;82;46.4
102.08204;1;0;0;0;0;68;48.4
102.08204;1;0;0;0;0;69;48.2
103.31953;1;0;0;0;0;81;46.6
104.53126;1;0;0;0;0;83;46.6
104.0164;1;0;0;0;0;85;45.6
104.07891;1;0;0;0;0;84;46.6
104.11407;1;0;0;0;0;84;47
102.48763;0.599683689;0;0.400316311;0;0;78;47
100.49884;0.606233763;0;0.393766237;0;0;83;46.2
101.49961;0.605659667;0;0.394340333;0;0;87;46
102.64445;1;0;0;0;0;83;46
101.4586;1;0;0;0;0;72;47.6
83.30859;1;0;0;0;0;83;46.8
70.59844;1;0;0;0;0;84;46.4
75.69048;0.719935057;0;0.224576591;0.055488352;0;100;45
75.00117;0.66711466;0;0.262222443;0.070662898;0;93;45.4
75.00117;0.66711466;0;0.262222443;0.070662898;0;85;46.6
70.67344;1;0;0;0;0;71;48.6
70.16953;1;0;0;0;0;76;47.8
70.16953;1;0;0;0;0;80;47.2
70.16953;1;0;0;0;0;92;45.8
85.71964;1;0;0;0;0;91;45.8
89.80547;1;0;0;0;0;85;46.2
89.80547;1;0;0;0;0;85;46.4
83.87256;0.75784619;0;0.187156205;0.054997606;0;98;45
84.77054;0.749818274;0;0.18396509;0.066216636;0;81;46.6
85.54315;0.743046053;0;0.183217826;0.07373612;0;81;47.6
85.51758;0.743268226;0;0.182973606;0.073758168;0;87;46.6
85.5878;0.742658416;0;0.183643931;0.073697653;0;79;46.8
85.44141;0.743930841;0;0.182245237;0.073823922;0;84;46.2
87.15496;0.739377426;0;0.201871012;0.058751562;0;83;46.6
86.30717;0.736386907;0;0.189749009;0.073864083;0;75;47.6
86.42027;0.735423183;0;0.190809402;0.073767416;0;80;46.4
80.35131;1;0;0;0;0;87;46.6
84.74198;0.749988022;0;0.192864741;0.057147237;0;84;46.6
79.82813;1;0;0;0;0;76;46.2
82.24161;0.804109501;0;0.195890499;0;0;75;47.8
81.66153;0.809821467;0;0.190178533;0;0;75;47.6
81.66153;0.809821467;0;0.190178533;0;0;83;46.6
81.69669;0.809472942;0;0.190527058;0;0;82;46.4
82.63913;0.800241484;0;0.199758516;0;0;88;46
82.68692;0.799778974;0;0.200221026;0;0;84;46.2
83.20078;0.800980351;0;0.199019649;0;0;95;46.2
83.15799;0.801392506;0;0.198607494;0;0;93;46
82.54746;0.807319692;0;0.192680308;0;0;83;46.2
83.37071;0.807640957;0;0.192359043;0;0;83;46.8
80.94844;1;0;0;0;0;86;46.4
82.01485;1;0;0;0;0;89;46.2
69.93282;1;0;0;0;0;85;46.8
69.93282;1;0;0;0;0;77;48
70.94766;1;0;0;0;0;90;45.8
65.0836;1;0;0;0;0;84;46.4
62.50547;1;0;0;0;0;81;46.4
80.9836;1;0;0;0;0;87;45.4
80.9836;1;0;0;0;0;70;47.8
80.9836;1;0;0;0;0;85;46
